capacitance_matrix,code_id,phase_count,reactance_matrix,resistance_matrix,source_record,units
"[[2.90301, -0.679335, -0.22313], [-0.679335, 3.15896, -0.481416], [-0.22313, -0.481416, 2.8965]]",400,3,"[[0.20744, 0.0935314, 0.0760312], [0.0935314, 0.200783, 0.0855879], [0.0760312, 0.0855879, 0.204877]]","[[0.088205, 0.0312137, 0.0306264], [0.0312137, 0.0901946, 0.0316143], [0.0306264, 0.0316143, 0.0889665]]",IEEELineCodes.DSS line=127: linecode.400,
"[[3.164838036, -1.002632425, -0.632736516], [-1.002632425, 2.993981593, -0.372608713], [-0.632736516, -0.372608713, 2.832670203]]",601,3,"[[0.192784091, 0.095018939, 0.080227273], [0.095018939, 0.19844697, 0.072897727], [0.080227273, 0.072897727, 0.195984848]]","[[0.065625, 0.029545455, 0.029924242], [0.029545455, 0.063920455, 0.02907197], [0.029924242, 0.02907197, 0.064659091]]",IEEELineCodes.DSS line=134: linecode.601,
"[[2.863013423, -0.543414918, -0.8492585], [-0.543414918, 2.602031589, -0.330962141], [-0.8492585, -0.330962141, 2.725162768]]",602,3,"[[0.22375, 0.080227273, 0.095018939], [0.080227273, 0.226950758, 0.072897727], [0.095018939, 0.072897727, 0.229393939]]","[[0.142537879, 0.029924242, 0.029545455], [0.029924242, 0.14157197, 0.02907197], [0.029545455, 0.02907197, 0.140833333]]",IEEELineCodes.DSS line=141: linecode.602,
"[[2.366017603, -0.452083836], [-0.452083836, 2.343963508]]",603,2,"[[0.255132576, 0.086950758], [0.086950758, 0.256988636]]","[[0.251780303, 0.039128788], [0.039128788, 0.250719697]]",IEEELineCodes.DSS line=148: linecode.603,
"[[2.343963508, -0.452083836], [-0.452083836, 2.366017603]]",604,2,"[[0.256988636, 0.086950758], [0.086950758, 0.255132576]]","[[0.250719697, 0.039128788], [0.039128788, 0.251780303]]",IEEELineCodes.DSS line=155: linecode.604,
[[2.270366128]],605,1,[[0.255208333]],[[0.251742424]],IEEELineCodes.DSS line=162: linecode.605,
"[[48.67459408, 0.0, 0.0], [0.0, 48.67459408, 0.0], [0.0, 0.0, 48.67459408]]",606,3,"[[0.084526515, 0.006212121, -0.002708333], [0.006212121, 0.076534091, 0.006212121], [-0.002708333, 0.006212121, 0.084526515]]","[[0.151174242, 0.060454545, 0.053958333], [0.060454545, 0.149450758, 0.060454545], [0.053958333, 0.060454545, 0.151174242]]",IEEELineCodes.DSS line=169: linecode.606,
[[44.70661522]],607,1,[[0.097045455]],[[0.254261364]],IEEELineCodes.DSS line=176: linecode.607,
"[[80.27484728, 0.0, 0.0], [0.0, 80.27484728, 0.0], [0.0, 0.0, 80.27484728]]",721,3,"[[0.037367424, -0.006969697, -0.007897727], [-0.006969697, 0.035984848, -0.006969697], [-0.007897727, -0.006969697, 0.037367424]]","[[0.055416667, 0.012746212, 0.006382576], [0.012746212, 0.050113636, 0.012746212], [0.006382576, 0.012746212, 0.055416667]]",IEEELineCodes.DSS line=186: linecode.721,
"[[64.2184109, 0.0, 0.0], [0.0, 64.2184109, 0.0], [0.0, 0.0, 64.2184109]]",722,3,"[[0.056306818, -0.006174242, -0.011496212], [-0.006174242, 0.050719697, -0.006174242], [-0.011496212, -0.006174242, 0.056306818]]","[[0.089981061, 0.030852273, 0.023371212], [0.030852273, 0.085, 0.030852273], [0.023371212, 0.030852273, 0.089981061]]",IEEELineCodes.DSS line=193: linecode.722,
"[[37.5977112, 0.0, 0.0], [0.0, 37.5977112, 0.0], [0.0, 0.0, 37.5977112]]",723,3,"[[0.127140152, 0.039981061, 0.028806818], [0.039981061, 0.119810606, 0.039981061], [0.028806818, 0.039981061, 0.127140152]]","[[0.245, 0.092253788, 0.086837121], [0.092253788, 0.246628788, 0.092253788], [0.086837121, 0.092253788, 0.245]]",IEEELineCodes.DSS line=200: linecode.723,
"[[30.26701029, 0.0, 0.0], [0.0, 30.26701029, 0.0], [0.0, 0.0, 30.26701029]]",724,3,"[[0.146931818, 0.051856061, 0.040208333], [0.051856061, 0.140113636, 0.051856061], [0.040208333, 0.051856061, 0.146931818]]","[[0.396818182, 0.098560606, 0.093295455], [0.098560606, 0.399015152, 0.098560606], [0.093295455, 0.098560606, 0.396818182]]",IEEELineCodes.DSS line=207: linecode.724,
