active_power_kw,bus,connection,declared_phase_count,model,name,nominal_kv,reactive_power_kvar,source_record
40.0,"{""bus_id"": ""94"", ""phases"": [""1""], ""raw_bus"": ""94.1""}",Wye,1,1,S94a,2.4,20.0,IEEE123Loads.DSS line=85: load.S94a
20.0,"{""bus_id"": ""95"", ""phases"": [""2""], ""raw_bus"": ""95.2""}",Wye,1,1,S95b,2.4,10.0,IEEE123Loads.DSS line=86: load.S95b
20.0,"{""bus_id"": ""96"", ""phases"": [""2""], ""raw_bus"": ""96.2""}",Wye,1,1,S96b,2.4,10.0,IEEE123Loads.DSS line=87: load.S96b
40.0,"{""bus_id"": ""98"", ""phases"": [""1""], ""raw_bus"": ""98.1""}",Wye,1,1,S98a,2.4,20.0,IEEE123Loads.DSS line=88: load.S98a
40.0,"{""bus_id"": ""99"", ""phases"": [""2""], ""raw_bus"": ""99.2""}",Wye,1,1,S99b,2.4,20.0,IEEE123Loads.DSS line=89: load.S99b
40.0,"{""bus_id"": ""100"", ""phases"": [""3""], ""raw_bus"": ""100.3""}",Wye,1,2,S100c,2.4,20.0,IEEE123Loads.DSS line=90: load.S100c
20.0,"{""bus_id"": ""102"", ""phases"": [""3""], ""raw_bus"": ""102.3""}",Wye,1,1,S102c,2.4,10.0,IEEE123Loads.DSS line=91: load.S102c
40.0,"{""bus_id"": ""103"", ""phases"": [""3""], ""raw_bus"": ""103.3""}",Wye,1,1,S103c,2.4,20.0,IEEE123Loads.DSS line=92: load.S103c
40.0,"{""bus_id"": ""104"", ""phases"": [""3""], ""raw_bus"": ""104.3""}",Wye,1,1,S104c,2.4,20.0,IEEE123Loads.DSS line=93: load.S104c
40.0,"{""bus_id"": ""106"", ""phases"": [""2""], ""raw_bus"": ""106.2""}",Wye,1,1,S106b,2.4,20.0,IEEE123Loads.DSS line=94: load.S106b
40.0,"{""bus_id"": ""107"", ""phases"": [""2""], ""raw_bus"": ""107.2""}",Wye,1,1,S107b,2.4,20.0,IEEE123Loads.DSS line=95: load.S107b
40.0,"{""bus_id"": ""109"", ""phases"": [""1""], ""raw_bus"": ""109.1""}",Wye,1,1,S109a,2.4,20.0,IEEE123Loads.DSS line=96: load.S109a
20.0,"{""bus_id"": ""111"", ""phases"": [""1""], ""raw_bus"": ""111.1""}",Wye,1,1,S111a,2.4,10.0,IEEE123Loads.DSS line=97: load.S111a
20.0,"{""bus_id"": ""112"", ""phases"": [""1""], ""raw_bus"": ""112.1""}",Wye,1,5,S112a,2.4,10.0,IEEE123Loads.DSS line=98: load.S112a
40.0,"{""bus_id"": ""113"", ""phases"": [""1""], ""raw_bus"": ""113.1""}",Wye,1,2,S113a,2.4,20.0,IEEE123Loads.DSS line=99: load.S113a
20.0,"{""bus_id"": ""114"", ""phases"": [""1""], ""raw_bus"": ""114.1""}",Wye,1,1,S114a,2.4,10.0,IEEE123Loads.DSS line=100: load.S114a
