capacitance_matrix,enabled,from_bus,in_service,is_switch,length,linecode_id,name,normal_amps,phases,reactance_matrix,resistance_matrix,source_record,to_bus,units
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""8"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""8.1.2.3""}",True,False,0.3,1,L10,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=61: line.L10,"{""bus_id"": ""13"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""13.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""9r"", ""phases"": [""1""], ""raw_bus"": ""9r.1""}",True,False,0.425,9,L11,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=62: line.L11,"{""bus_id"": ""14"", ""phases"": [""1""], ""raw_bus"": ""14.1""}",kft
[[2.270366128]],True,"{""bus_id"": ""13"", ""phases"": [""3""], ""raw_bus"": ""13.3""}",True,False,0.15,11,L12,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=63: line.L12,"{""bus_id"": ""34"", ""phases"": [""3""], ""raw_bus"": ""34.3""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""13"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""13.1.2.3""}",True,False,0.825,2,L13,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=64: line.L13,"{""bus_id"": ""18"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""18.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""14"", ""phases"": [""1""], ""raw_bus"": ""14.1""}",True,False,0.25,9,L14,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=65: line.L14,"{""bus_id"": ""11"", ""phases"": [""1""], ""raw_bus"": ""11.1""}",kft
[[2.270366128]],True,"{""bus_id"": ""14"", ""phases"": [""1""], ""raw_bus"": ""14.1""}",True,False,0.25,9,L15,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=66: line.L15,"{""bus_id"": ""10"", ""phases"": [""1""], ""raw_bus"": ""10.1""}",kft
[[2.270366128]],True,"{""bus_id"": ""15"", ""phases"": [""3""], ""raw_bus"": ""15.3""}",True,False,0.375,11,L16,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=67: line.L16,"{""bus_id"": ""16"", ""phases"": [""3""], ""raw_bus"": ""16.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""15"", ""phases"": [""3""], ""raw_bus"": ""15.3""}",True,False,0.35,11,L17,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=68: line.L17,"{""bus_id"": ""17"", ""phases"": [""3""], ""raw_bus"": ""17.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""18"", ""phases"": [""1""], ""raw_bus"": ""18.1""}",True,False,0.25,9,L18,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=69: line.L18,"{""bus_id"": ""19"", ""phases"": [""1""], ""raw_bus"": ""19.1""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""18"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""18.1.2.3""}",True,False,0.3,2,L19,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=70: line.L19,"{""bus_id"": ""21"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""21.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""19"", ""phases"": [""1""], ""raw_bus"": ""19.1""}",True,False,0.325,9,L20,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=71: line.L20,"{""bus_id"": ""20"", ""phases"": [""1""], ""raw_bus"": ""20.1""}",kft
[[2.270366128]],True,"{""bus_id"": ""21"", ""phases"": [""2""], ""raw_bus"": ""21.2""}",True,False,0.525,10,L21,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=72: line.L21,"{""bus_id"": ""22"", ""phases"": [""2""], ""raw_bus"": ""22.2""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""21"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""21.1.2.3""}",True,False,0.25,2,L22,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=73: line.L22,"{""bus_id"": ""23"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""23.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""23"", ""phases"": [""3""], ""raw_bus"": ""23.3""}",True,False,0.55,11,L23,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=74: line.L23,"{""bus_id"": ""24"", ""phases"": [""3""], ""raw_bus"": ""24.3""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""23"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""23.1.2.3""}",True,False,0.275,2,L24,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=75: line.L24,"{""bus_id"": ""25"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""25.1.2.3""}",kft
"[[2.569829596, -0.52995137], [-0.52995137, 2.597460011]]",True,"{""bus_id"": ""25r"", ""phases"": [""1"", ""3""], ""raw_bus"": ""25r.1.3""}",True,False,0.35,7,L25,,"[""1"", ""3""]","[[0.204166667, 0.072897727], [0.072897727, 0.201723485]]","[[0.086666667, 0.02907197], [0.02907197, 0.087405303]]",IEEE123Master.dss line=76: line.L25,"{""bus_id"": ""26"", ""phases"": [""1"", ""3""], ""raw_bus"": ""26.1.3""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""25"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""25.1.2.3""}",True,False,0.2,2,L26,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=77: line.L26,"{""bus_id"": ""28"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""28.1.2.3""}",kft
"[[2.569829596, -0.52995137], [-0.52995137, 2.597460011]]",True,"{""bus_id"": ""26"", ""phases"": [""1"", ""3""], ""raw_bus"": ""26.1.3""}",True,False,0.275,7,L27,,"[""1"", ""3""]","[[0.204166667, 0.072897727], [0.072897727, 0.201723485]]","[[0.086666667, 0.02907197], [0.02907197, 0.087405303]]",IEEE123Master.dss line=78: line.L27,"{""bus_id"": ""27"", ""phases"": [""1"", ""3""], ""raw_bus"": ""27.1.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""26"", ""phases"": [""3""], ""raw_bus"": ""26.3""}",True,False,0.225,11,L28,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=79: line.L28,"{""bus_id"": ""31"", ""phases"": [""3""], ""raw_bus"": ""31.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""27"", ""phases"": [""1""], ""raw_bus"": ""27.1""}",True,False,0.5,9,L29,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=80: line.L29,"{""bus_id"": ""33"", ""phases"": [""1""], ""raw_bus"": ""33.1""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""28"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""28.1.2.3""}",True,False,0.3,2,L30,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=81: line.L30,"{""bus_id"": ""29"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""29.1.2.3""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""29"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""29.1.2.3""}",True,False,0.35,2,L31,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=82: line.L31,"{""bus_id"": ""30"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""30.1.2.3""}",kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",True,"{""bus_id"": ""30"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""30.1.2.3""}",True,False,0.2,2,L32,,"[""1"", ""2"", ""3""]","[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEE123Master.dss line=83: line.L32,"{""bus_id"": ""250"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""250.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""31"", ""phases"": [""3""], ""raw_bus"": ""31.3""}",True,False,0.3,11,L33,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=84: line.L33,"{""bus_id"": ""32"", ""phases"": [""3""], ""raw_bus"": ""32.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""34"", ""phases"": [""3""], ""raw_bus"": ""34.3""}",True,False,0.1,11,L34,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=85: line.L34,"{""bus_id"": ""15"", ""phases"": [""3""], ""raw_bus"": ""15.3""}",kft
"[[2.569829596, -0.52995137], [-0.52995137, 2.597460011]]",True,"{""bus_id"": ""35"", ""phases"": [""1"", ""2""], ""raw_bus"": ""35.1.2""}",True,False,0.65,8,L35,,"[""1"", ""2""]","[[0.204166667, 0.072897727], [0.072897727, 0.201723485]]","[[0.086666667, 0.02907197], [0.02907197, 0.087405303]]",IEEE123Master.dss line=86: line.L35,"{""bus_id"": ""36"", ""phases"": [""1"", ""2""], ""raw_bus"": ""36.1.2""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""35"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""35.1.2.3""}",True,False,0.25,1,L36,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=87: line.L36,"{""bus_id"": ""40"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""40.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""36"", ""phases"": [""1""], ""raw_bus"": ""36.1""}",True,False,0.3,9,L37,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=88: line.L37,"{""bus_id"": ""37"", ""phases"": [""1""], ""raw_bus"": ""37.1""}",kft
[[2.270366128]],True,"{""bus_id"": ""36"", ""phases"": [""2""], ""raw_bus"": ""36.2""}",True,False,0.25,10,L38,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=89: line.L38,"{""bus_id"": ""38"", ""phases"": [""2""], ""raw_bus"": ""38.2""}",kft
[[2.270366128]],True,"{""bus_id"": ""38"", ""phases"": [""2""], ""raw_bus"": ""38.2""}",True,False,0.325,10,L39,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=90: line.L39,"{""bus_id"": ""39"", ""phases"": [""2""], ""raw_bus"": ""39.2""}",kft
[[2.270366128]],True,"{""bus_id"": ""40"", ""phases"": [""3""], ""raw_bus"": ""40.3""}",True,False,0.325,11,L40,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=91: line.L40,"{""bus_id"": ""41"", ""phases"": [""3""], ""raw_bus"": ""41.3""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""40"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""40.1.2.3""}",True,False,0.25,1,L41,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=92: line.L41,"{""bus_id"": ""42"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""42.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""42"", ""phases"": [""2""], ""raw_bus"": ""42.2""}",True,False,0.5,10,L42,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=93: line.L42,"{""bus_id"": ""43"", ""phases"": [""2""], ""raw_bus"": ""43.2""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""42"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""42.1.2.3""}",True,False,0.2,1,L43,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=94: line.L43,"{""bus_id"": ""44"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""44.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""44"", ""phases"": [""1""], ""raw_bus"": ""44.1""}",True,False,0.2,9,L44,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=95: line.L44,"{""bus_id"": ""45"", ""phases"": [""1""], ""raw_bus"": ""45.1""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""44"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""44.1.2.3""}",True,False,0.25,1,L45,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=96: line.L45,"{""bus_id"": ""47"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""47.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""45"", ""phases"": [""1""], ""raw_bus"": ""45.1""}",True,False,0.3,9,L46,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=97: line.L46,"{""bus_id"": ""46"", ""phases"": [""1""], ""raw_bus"": ""46.1""}",kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",True,"{""bus_id"": ""47"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""47.1.2.3""}",True,False,0.15,4,L47,,"[""1"", ""2"", ""3""]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEE123Master.dss line=98: line.L47,"{""bus_id"": ""48"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""48.1.2.3""}",kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",True,"{""bus_id"": ""47"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""47.1.2.3""}",True,False,0.25,4,L48,,"[""1"", ""2"", ""3""]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEE123Master.dss line=99: line.L48,"{""bus_id"": ""49"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""49.1.2.3""}",kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",True,"{""bus_id"": ""49"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""49.1.2.3""}",True,False,0.25,4,L49,,"[""1"", ""2"", ""3""]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEE123Master.dss line=100: line.L49,"{""bus_id"": ""50"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""50.1.2.3""}",kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",True,"{""bus_id"": ""50"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""50.1.2.3""}",True,False,0.25,4,L50,,"[""1"", ""2"", ""3""]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEE123Master.dss line=101: line.L50,"{""bus_id"": ""51"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""51.1.2.3""}",kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",True,"{""bus_id"": ""51"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""51.1.2.3""}",True,False,0.5,4,L51,,"[""1"", ""2"", ""3""]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEE123Master.dss line=102: line.L51,"{""bus_id"": ""151"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""151.1.2.3""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""52"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""52.1.2.3""}",True,False,0.2,1,L52,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=103: line.L52,"{""bus_id"": ""53"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""53.1.2.3""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""53"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""53.1.2.3""}",True,False,0.125,1,L53,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=104: line.L53,"{""bus_id"": ""54"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""54.1.2.3""}",kft
