benchmark,capacity_kw,energy_kwh,islanded_deficit_kw,maximum_upgrade_cost,minimum_resilient_upgrade_cost,patch_id,payload_name,power_kw,sizing_rule,source_row,technology,total_cost,unit_cost_per_kw,unit_cost_per_kwh
arpae_go_network_01o_020,120153.0,0.0,120153.0,529119953.3112004,133417891.20000002,arpae_go_network_01o_020__patch_01__320-321,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,120153.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,164200873.9512004,1366.5982035504765,
arpae_go_network_01o_020,100071.0,0.0,100071.0,440684484.3474997,111118838.4,arpae_go_network_01o_020__patch_04__228-474,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,100071.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,111118838.4,1110.4,
arpae_go_network_01o_020,119978.0,0.0,119978.0,528349302.6255791,133223571.20000002,arpae_go_network_01o_020__patch_05__485-499,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,119978.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,163961719.26557907,1366.5982035504765,
arpae_go_network_01o_020,119978.0,479912.0,119978.0,528349302.6255791,133223571.20000002,arpae_go_network_01o_020__patch_05__485-499,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,119978.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,231164012.16,1926.72,481.68
arpae_go_network_01o_020,119978.0,0.0,119978.0,528349302.6255791,133223571.20000002,arpae_go_network_01o_020__patch_05__485-499,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,119978.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,133223571.20000002,1110.4,
arpae_go_network_01o_020,96705.0,0.0,96705.0,425861568.8743488,107381232.00000001,arpae_go_network_01o_020__patch_06__326-327,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,96705.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,132156879.27434883,1366.5982035504765,
arpae_go_network_01o_020,96705.0,386820.0,96705.0,425861568.8743488,107381232.00000001,arpae_go_network_01o_020__patch_06__326-327,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,96705.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,186323457.6,1926.72,481.68
arpae_go_network_01o_020,96705.0,0.0,96705.0,425861568.8743488,107381232.00000001,arpae_go_network_01o_020__patch_06__326-327,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,96705.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,107381232.00000001,1110.4,
arpae_go_network_01o_020,95476.0,0.0,95476.0,420449399.2021853,106016550.4,arpae_go_network_01o_020__patch_07__263-491,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,95476.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,130477330.08218528,1366.5982035504765,
arpae_go_network_01o_020,95476.0,381904.0,95476.0,420449399.2021853,106016550.4,arpae_go_network_01o_020__patch_07__263-491,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,95476.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,183955518.72,1926.72,481.68
arpae_go_network_01o_020,95476.0,0.0,95476.0,420449399.2021853,106016550.4,arpae_go_network_01o_020__patch_07__263-491,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,95476.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,106016550.4,1110.4,
arpae_go_network_01o_020,87839.0,0.0,87839.0,386818203.28167033,97536425.60000001,arpae_go_network_01o_020__patch_08__141-142,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,87839.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,120040619.6016703,1366.5982035504765,
arpae_go_network_01o_020,87839.0,351356.0,87839.0,386818203.28167033,97536425.60000001,arpae_go_network_01o_020__patch_08__141-142,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,87839.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,169241158.08,1926.72,481.68
arpae_go_network_01o_020,87839.0,0.0,87839.0,386818203.28167033,97536425.60000001,arpae_go_network_01o_020__patch_08__141-142,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,87839.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,97536425.60000001,1110.4,
