action,component_id,component_kind,contingency_id,source_record
REMOVE UNIT 1 FROM BUS    167,bus_167_unit_1,generator,G_000167SALEM22U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    167
REMOVE UNIT 1 FROM BUS    168,bus_168_unit_1,generator,G_000168SALEM23U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    168
REMOVE UNIT 1 FROM BUS    169,bus_169_unit_1,generator,G_000169SALEM24U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    169
REMOVE UNIT 1 FROM BUS    197,bus_197_unit_1,generator,G_000197COLUMBIA82U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    197
REMOVE UNIT 1 FROM BUS    198,bus_198_unit_1,generator,G_000198COLUMBIA83U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    198
REMOVE UNIT 1 FROM BUS    222,bus_222_unit_1,generator,G_000222UNION32U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    222
REMOVE UNIT 1 FROM BUS    223,bus_223_unit_1,generator,G_000223UNION33U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    223
REMOVE UNIT 1 FROM BUS    224,bus_224_unit_1,generator,G_000224UNION34U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    224
REMOVE UNIT 1 FROM BUS    225,bus_225_unit_1,generator,G_000225UNION35U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    225
REMOVE UNIT 1 FROM BUS    231,bus_231_unit_1,generator,G_000231WESTMINSTER11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    231
REMOVE UNIT 1 FROM BUS    254,bus_254_unit_1,generator,G_000254GREENVILLE41U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    254
REMOVE UNIT 1 FROM BUS    255,bus_255_unit_1,generator,G_000255GREENVILLE42U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    255
REMOVE UNIT 1 FROM BUS    256,bus_256_unit_1,generator,G_000256GREENVILLE43U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    256
REMOVE UNIT 1 FROM BUS    257,bus_257_unit_1,generator,G_000257GREENVILLE44U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    257
REMOVE UNIT 1 FROM BUS    258,bus_258_unit_1,generator,G_000258GREENVILLE45U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    258
REMOVE UNIT 1 FROM BUS    264,bus_264_unit_1,generator,G_000264COLUMBIA62U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    264
REMOVE UNIT 1 FROM BUS    265,bus_265_unit_1,generator,G_000265COLUMBIA63U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    265
REMOVE UNIT 1 FROM BUS    275,bus_275_unit_1,generator,G_000275GAFFNEY11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    275
REMOVE UNIT 1 FROM BUS    301,bus_301_unit_1,generator,G_000301YORK11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    301
REMOVE UNIT 1 FROM BUS    302,bus_302_unit_1,generator,G_000302YORK12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    302
REMOVE UNIT 1 FROM BUS    305,bus_305_unit_1,generator,G_000305PIEDMONT1U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    305
REMOVE UNIT 1 FROM BUS    306,bus_306_unit_1,generator,G_000306PIEDMONT2U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    306
REMOVE UNIT 1 FROM BUS    319,bus_319_unit_1,generator,G_000319GREATFALLS21U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    319
REMOVE UNIT 1 FROM BUS    350,bus_350_unit_1,generator,G_000350CHAPPELLS11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    350
REMOVE UNIT 1 FROM BUS    351,bus_351_unit_1,generator,G_000351CHAPPELLS12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    351
REMOVE UNIT 1 FROM BUS    352,bus_352_unit_1,generator,G_000352CHAPPELLS13U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    352
REMOVE UNIT 1 FROM BUS    353,bus_353_unit_1,generator,G_000353CHAPPELLS14U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    353
REMOVE UNIT 1 FROM BUS    361,bus_361_unit_1,generator,G_000361SPARTANBURG31U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    361
REMOVE UNIT 1 FROM BUS    362,bus_362_unit_1,generator,G_000362SPARTANBURG32U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    362
REMOVE UNIT 1 FROM BUS    363,bus_363_unit_1,generator,G_000363SPARTANBURG33U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    363
REMOVE UNIT 1 FROM BUS    388,bus_388_unit_1,generator,G_000388CLEMSON2U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    388
REMOVE UNIT 1 FROM BUS    392,bus_392_unit_1,generator,G_000392CLEMSON6U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    392
REMOVE UNIT 1 FROM BUS    393,bus_393_unit_1,generator,G_000393CLEMSON7U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    393
REMOVE UNIT 1 FROM BUS    394,bus_394_unit_1,generator,G_000394CLEMSON8U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    394
REMOVE UNIT 1 FROM BUS    395,bus_395_unit_1,generator,G_000395CLEMSON9U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    395
REMOVE UNIT 1 FROM BUS    396,bus_396_unit_1,generator,G_000396CLEMSON10U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    396
REMOVE UNIT 1 FROM BUS    409,bus_409_unit_1,generator,G_000409BEECHISLAND12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    409
REMOVE UNIT 1 FROM BUS    410,bus_410_unit_1,generator,G_000410BEECHISLAND13U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    410
REMOVE UNIT 1 FROM BUS    411,bus_411_unit_1,generator,G_000411BEECHISLAND14U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    411
REMOVE UNIT 1 FROM BUS    412,bus_412_unit_1,generator,G_000412BEECHISLAND15U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    412
REMOVE UNIT 1 FROM BUS    413,bus_413_unit_1,generator,G_000413BEECHISLAND16U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    413
REMOVE UNIT 1 FROM BUS    414,bus_414_unit_1,generator,G_000414BEECHISLAND17U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    414
REMOVE UNIT 1 FROM BUS    430,bus_430_unit_1,generator,G_000430CHESNEE22U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    430
REMOVE UNIT 1 FROM BUS    431,bus_431_unit_1,generator,G_000431CHESNEE23U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    431
REMOVE UNIT 1 FROM BUS    432,bus_432_unit_1,generator,G_000432CHESNEE24U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    432
REMOVE UNIT 1 FROM BUS    433,bus_433_unit_1,generator,G_000433CHESNEE25U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    433
REMOVE UNIT 1 FROM BUS    434,bus_434_unit_1,generator,G_000434CHESNEE26U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    434
REMOVE UNIT 1 FROM BUS    435,bus_435_unit_1,generator,G_000435CHESNEE27U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    435
REMOVE UNIT 1 FROM BUS    436,bus_436_unit_1,generator,G_000436CHESNEE28U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    436
REMOVE UNIT 1 FROM BUS    437,bus_437_unit_1,generator,G_000437CHESNEE29U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    437
REMOVE UNIT 1 FROM BUS    438,bus_438_unit_1,generator,G_000438CHESNEE210U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    438
REMOVE UNIT 1 FROM BUS    439,bus_439_unit_1,generator,G_000439CHESNEE211U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    439
REMOVE UNIT 1 FROM BUS    442,bus_442_unit_1,generator,G_000442WILLIAMSTON12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    442
REMOVE UNIT 1 FROM BUS    444,bus_444_unit_1,generator,G_000444WILLIAMSTON14U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    444
REMOVE UNIT 1 FROM BUS    458,bus_458_unit_1,generator,G_000458EASTOVER11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    458
REMOVE UNIT 1 FROM BUS    463,bus_463_unit_1,generator,G_000463UNION11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    463
REMOVE UNIT 1 FROM BUS    480,bus_480_unit_1,generator,G_000480RIDGEWAY11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    480
REMOVE UNIT 1 FROM BUS    481,bus_481_unit_1,generator,G_000481RIDGEWAY12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    481
REMOVE UNIT 1 FROM BUS    482,bus_482_unit_1,generator,G_000482RIDGEWAY13U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    482
REMOVE UNIT 1 FROM BUS    483,bus_483_unit_1,generator,G_000483RIDGEWAY14U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    483
REMOVE UNIT 1 FROM BUS    484,bus_484_unit_1,generator,G_000484RIDGEWAY15U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    484
REMOVE UNIT 1 FROM BUS    494,bus_494_unit_1,generator,G_000494CARLISLE1U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    494
REMOVE UNIT 1 FROM BUS    497,bus_497_unit_1,generator,G_000497FORTMILL11U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    497
REMOVE UNIT 1 FROM BUS    498,bus_498_unit_1,generator,G_000498FORTMILL12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    498
OPEN BRANCH FROM BUS      3 TO BUS    479 CIRCUIT 1,branch_3_479_1,branch,L_000003COLUMBIA110-000479RIDGEWAY10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS      3 TO BUS    479 CIRCUIT 1
OPEN BRANCH FROM BUS      7 TO BUS    232 CIRCUIT 1,branch_7_232_1,branch,L_000007EASTOVER20-000232WESTCOLUMBIA30C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS      7 TO BUS    232 CIRCUIT 1
OPEN BRANCH FROM BUS      7 TO BUS    262 CIRCUIT 1,branch_7_262_1,branch,L_000007EASTOVER20-000262COLUMBIA60C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS      7 TO BUS    262 CIRCUIT 1
OPEN BRANCH FROM BUS      8 TO BUS    287 CIRCUIT 1,branch_8_287_1,branch,L_000008EASTOVER21-000287HOPKINS0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS      8 TO BUS    287 CIRCUIT 1
OPEN BRANCH FROM BUS      8 TO BUS    457 CIRCUIT 1,branch_8_457_1,branch,L_000008EASTOVER21-000457EASTOVER10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS      8 TO BUS    457 CIRCUIT 1
