circuit_id,from_bus_id,in_service,rating_a_mva,rating_b_mva,rating_c_mva,reactance_pu,resistance_pu,source_records,third_winding_bus_id,to_bus_id,winding1_nominal_kv,winding2_nominal_kv
1,353,True,206.0,206.0,206.0,0.0722,0.0027,"[""353,349,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0027,0.0722,206.0"", ""1.0,13.8,0.0,206.0,206.0,206.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,349,13.8,138.0
1,231,True,65.0,65.0,65.0,0.18877,0.00368,"[""231,230,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00368,0.18877,65.0"", ""1.0,13.8,0.0,65.0,65.0,65.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,230,13.8,138.0
1,50,True,100.0,100.0,100.0,0.16356,0.00715,"[""50,48,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00715,0.16356,100.0"", ""1.0,13.8,0.0,100.0,100.0,100.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,48,13.8,138.0
1,147,True,272.0,272.0,272.0,0.05565,0.00100703,"[""147,146,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00100703,0.05565,272.0"", ""1.0,138.0,0.0,272.0,272.0,272.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,146,138.0,345.0
1,414,True,342.0,342.0,342.0,0.04423,0.000999477,"[""414,407,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000999477,0.04423,342.0"", ""1.0,13.8,0.0,342.0,342.0,342.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,407,13.8,345.0
2,225,True,628.0,628.0,628.0,0.01242,0.00018,"[""225,220,0,'2',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00018,0.01242,628.0"", ""1.0,13.8,0.0,628.0,628.0,628.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,220,13.8,345.0
1,8,True,567.0,567.0,567.0,0.0129,0.000355062,"[""8,7,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000355062,0.0129,567.0"", ""1.0,138.0,0.0,567.0,567.0,567.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,7,138.0,345.0
1,431,True,225.0,225.0,225.0,0.03646,0.00037,"[""431,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00037,0.03646,225.0"", ""1.0,13.8,0.0,225.0,225.0,225.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,458,True,207.0,207.0,207.0,0.07218,0.00201,"[""458,457,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00201,0.07218,207.0"", ""1.0,13.8,0.0,207.0,207.0,207.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,457,13.8,138.0
1,333,True,508.0,508.0,508.0,0.02644,0.00074,"[""333,332,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00074,0.02644,508.0"", ""1.0,138.0,0.0,508.0,508.0,508.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,332,138.0,345.0
1,9,True,900.0,900.0,900.0,0.01362,0.00012,"[""9,7,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00012,0.01362,900.0"", ""1.0,13.8,0.0,900.0,900.0,900.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,7,13.8,345.0
2,224,True,588.0,588.0,588.0,0.02404,0.00043,"[""224,220,0,'2',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00043,0.02404,588.0"", ""1.0,13.8,0.0,588.0,588.0,588.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,220,13.8,345.0
1,390,True,389.0,389.0,389.0,0.02728,0.00021,"[""390,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00021,0.02728,389.0"", ""1.0,13.8,0.0,389.0,389.0,389.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,396,True,313.0,313.0,313.0,0.02168,0.00015,"[""396,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00015,0.02168,313.0"", ""1.0,13.8,0.0,313.0,313.0,313.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,272,True,484.0,484.0,484.0,0.03765,0.00100618,"[""272,271,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00100618,0.03765,484.0"", ""1.0,138.0,0.0,484.0,484.0,484.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,271,138.0,345.0
1,176,True,273.0,273.0,273.0,0.03857,0.00039,"[""176,175,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00039,0.03857,273.0"", ""1.0,138.0,0.0,273.0,273.0,273.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,175,138.0,345.0
1,250,True,628.0,628.0,628.0,0.02016,0.000410167,"[""250,246,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000410167,0.02016,628.0"", ""1.0,13.8,0.0,628.0,628.0,628.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,246,13.8,345.0
1,408,True,595.0,595.0,595.0,0.01366,0.00036,"[""408,407,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00036,0.01366,595.0"", ""1.0,138.0,0.0,595.0,595.0,595.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,407,138.0,345.0
1,265,True,241.0,241.0,241.0,0.03379,0.00023,"[""265,262,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00023,0.03379,241.0"", ""1.0,13.8,0.0,241.0,241.0,241.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,262,13.8,345.0
1,255,True,75.0,75.0,75.0,0.10598,0.00273,"[""255,253,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00273,0.10598,75.0"", ""1.0,13.8,0.0,75.0,75.0,75.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,253,13.8,138.0
1,71,True,133.0,133.0,133.0,0.04472,0.00103,"[""71,70,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00103,0.04472,133.0"", ""1.0,13.8,0.0,133.0,133.0,133.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,70,13.8,138.0
1,482,True,187.0,187.0,187.0,0.03182,0.00123,"[""482,479,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00123,0.03182,187.0"", ""1.0,13.8,0.0,187.0,187.0,187.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,479,13.8,138.0
1,125,True,346.0,346.0,346.0,0.04064,0.00028,"[""125,123,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00028,0.04064,346.0"", ""1.0,13.8,0.0,346.0,346.0,346.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,123,13.8,345.0
1,387,True,658.0,658.0,658.0,0.01653,0.00016,"[""387,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00016,0.01653,658.0"", ""1.0,138.0,0.0,658.0,658.0,658.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,138.0,345.0
1,434,True,231.0,231.0,231.0,0.02264,0.0003,"[""434,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0003,0.02264,231.0"", ""1.0,13.8,0.0,231.0,231.0,231.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,437,True,471.0,471.0,471.0,0.01844,0.00014,"[""437,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00014,0.01844,471.0"", ""1.0,13.8,0.0,471.0,471.0,471.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,429,True,646.0,646.0,646.0,0.00868,0.00013,"[""429,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00013,0.00868,646.0"", ""1.0,138.0,0.0,646.0,646.0,646.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,138.0,345.0
1,389,True,374.0,374.0,374.0,0.03576,0.00043,"[""389,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00043,0.03576,374.0"", ""1.0,13.8,0.0,374.0,374.0,374.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,483,True,187.0,187.0,187.0,0.10067,0.00343,"[""483,479,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00343,0.10067,187.0"", ""1.0,13.8,0.0,187.0,187.0,187.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,479,13.8,138.0
1,221,True,556.0,556.0,556.0,0.02901,0.000871979,"[""221,220,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000871979,0.02901,556.0"", ""1.0,138.0,0.0,556.0,556.0,556.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,220,138.0,345.0
1,58,True,675.0,675.0,675.0,0.01762,0.00012,"[""58,57,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00012,0.01762,675.0"", ""1.0,138.0,0.0,675.0,675.0,675.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,57,138.0,345.0
1,305,True,28.0,28.0,28.0,0.53593,0.02066,"[""305,304,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.02066,0.53593,28.0"", ""1.0,13.8,0.0,28.0,28.0,28.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,304,13.8,138.0
1,49,True,57.0,57.0,57.0,0.27853,0.01331,"[""49,48,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.01331,0.27853,57.0"", ""1.0,13.8,0.0,57.0,57.0,57.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,48,13.8,138.0
1,264,True,255.0,255.0,255.0,0.05005,0.00052,"[""264,262,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00052,0.05005,255.0"", ""1.0,13.8,0.0,255.0,255.0,255.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,262,13.8,345.0
1,430,True,207.0,207.0,207.0,0.06355,0.00118,"[""430,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00118,0.06355,207.0"", ""1.0,13.8,0.0,207.0,207.0,207.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,444,True,202.0,202.0,202.0,0.08953,0.00108,"[""444,440,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00108,0.08953,202.0"", ""1.0,13.8,0.0,202.0,202.0,202.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,440,13.8,345.0
1,128,True,391.0,391.0,391.0,0.01585,0.00016,"[""128,123,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00016,0.01585,391.0"", ""1.0,13.8,0.0,391.0,391.0,391.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,123,13.8,345.0
1,435,True,458.0,458.0,458.0,0.02826,0.00029,"[""435,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00029,0.02826,458.0"", ""1.0,13.8,0.0,458.0,458.0,458.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,127,True,378.0,378.0,378.0,0.04792,0.00038,"[""127,123,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00038,0.04792,378.0"", ""1.0,13.8,0.0,378.0,378.0,378.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,123,13.8,345.0
1,388,True,255.0,255.0,255.0,0.04243,0.00036,"[""388,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00036,0.04243,255.0"", ""1.0,13.8,0.0,255.0,255.0,255.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,223,True,248.0,248.0,248.0,0.03062,0.000574649,"[""223,220,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000574649,0.03062,248.0"", ""1.0,13.8,0.0,248.0,248.0,248.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,220,13.8,345.0
1,66,True,405.0,405.0,405.0,0.03088,0.000807929,"[""66,65,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000807929,0.03088,405.0"", ""1.0,138.0,0.0,405.0,405.0,405.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,65,138.0,345.0
1,233,True,628.0,628.0,628.0,0.0207,0.00046,"[""233,232,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00046,0.0207,628.0"", ""1.0,138.0,0.0,628.0,628.0,628.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,232,138.0,345.0
1,394,True,318.0,318.0,318.0,0.022,0.00039,"[""394,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00039,0.022,318.0"", ""1.0,13.8,0.0,318.0,318.0,318.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,391,True,399.0,399.0,399.0,0.02451,0.00023,"[""391,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00023,0.02451,399.0"", ""1.0,13.8,0.0,399.0,399.0,399.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,124,True,488.0,488.0,488.0,0.01438,0.0002,"[""124,123,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0002,0.01438,488.0"", ""1.0,138.0,0.0,488.0,488.0,488.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,123,138.0,345.0
2,250,True,628.0,628.0,628.0,0.02016,0.000392591,"[""250,246,0,'2',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000392591,0.02016,628.0"", ""1.0,13.8,0.0,628.0,628.0,628.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,246,13.8,345.0
1,352,True,150.0,150.0,150.0,0.07211,0.00304567,"[""352,349,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00304567,0.07211,150.0"", ""1.0,13.8,0.0,150.0,150.0,150.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,349,13.8,138.0
1,82,True,628.0,628.0,628.0,0.03113,0.00043,"[""82,80,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00043,0.03113,628.0"", ""1.0,13.8,0.0,628.0,628.0,628.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,80,13.8,345.0
1,197,True,597.0,597.0,597.0,0.03102,0.0006,"[""197,195,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0006,0.03102,597.0"", ""1.0,13.8,0.0,597.0,597.0,597.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,195,13.8,345.0
1,433,True,218.0,218.0,218.0,0.09098,0.0008,"[""433,428,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0008,0.09098,218.0"", ""1.0,13.8,0.0,218.0,218.0,218.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,428,13.8,345.0
1,463,True,80.0,80.0,80.0,0.09575,0.00181,"[""463,462,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00181,0.09575,80.0"", ""1.0,13.8,0.0,80.0,80.0,80.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,462,13.8,138.0
1,256,True,65.0,65.0,65.0,0.18871,0.00659,"[""256,253,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00659,0.18871,65.0"", ""1.0,13.8,0.0,65.0,65.0,65.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,253,13.8,138.0
1,426,True,554.0,554.0,554.0,0.03219,0.000869771,"[""426,425,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000869771,0.03219,554.0"", ""1.0,138.0,0.0,554.0,554.0,554.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,425,138.0,345.0
1,40,True,428.0,428.0,428.0,0.02531,0.0007,"[""40,39,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0007,0.02531,428.0"", ""1.0,138.0,0.0,428.0,428.0,428.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,39,138.0,345.0
1,167,True,411.0,411.0,411.0,0.02157,0.000463111,"[""167,165,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000463111,0.02157,411.0"", ""1.0,13.8,0.0,411.0,411.0,411.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,165,13.8,345.0
