benchmark,capacity_kw,energy_kwh,islanded_deficit_kw,maximum_upgrade_cost,minimum_resilient_upgrade_cost,patch_id,payload_name,power_kw,sizing_rule,source_row,technology,total_cost,unit_cost_per_kw,unit_cost_per_kwh
pglib_case14_ieee,142000.0,0.0,142000.0,625327984.9041677,157676800.0,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,142000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,194056944.90416765,1366.5982035504765,
pglib_case14_ieee,28400.0,0.0,28400.0,125065596.98083353,31535360.000000004,pglib_case14_ieee__patch_04__13-14,pglib_case14_ieee__pglib_case14_ieee__patch_04__13-14.json,28400.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,31535360.000000004,1110.4,
pglib_case14_ieee,24700.0,0.0,24700.0,108771839.62769677,27426880.000000004,pglib_case14_ieee__patch_05__13-6,pglib_case14_ieee__pglib_case14_ieee__patch_05__13-6.json,24700.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,33754975.62769677,1366.5982035504765,
pglib_case14_ieee,24700.0,98800.0,24700.0,108771839.62769677,27426880.000000004,pglib_case14_ieee__patch_05__13-6,pglib_case14_ieee__pglib_case14_ieee__patch_05__13-6.json,24700.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,47589984.0,1926.72,481.68
pglib_case14_ieee,24700.0,0.0,24700.0,108771839.62769677,27426880.000000004,pglib_case14_ieee__patch_05__13-6,pglib_case14_ieee__pglib_case14_ieee__patch_05__13-6.json,24700.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,27426880.000000004,1110.4,
pglib_case14_ieee,38500.0,0.0,38500.0,169543150.83669335,42750400.0,pglib_case14_ieee__patch_06__10-9,pglib_case14_ieee__pglib_case14_ieee__patch_06__10-9.json,38500.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,52614030.83669335,1366.5982035504765,
pglib_case14_ieee,38500.0,154000.0,38500.0,169543150.83669335,42750400.0,pglib_case14_ieee__patch_06__10-9,pglib_case14_ieee__pglib_case14_ieee__patch_06__10-9.json,38500.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,74178720.0,1926.72,481.68
pglib_case14_ieee,38500.0,0.0,38500.0,169543150.83669335,42750400.0,pglib_case14_ieee__patch_06__10-9,pglib_case14_ieee__pglib_case14_ieee__patch_06__10-9.json,38500.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,42750400.0,1110.4,
pglib_case14_ieee,55400.0,0.0,55400.0,243965988.4766964,61516160.00000001,pglib_case14_ieee__patch_07__4-5,pglib_case14_ieee__pglib_case14_ieee__patch_07__4-5.json,55400.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,75709540.4766964,1366.5982035504765,
pglib_case14_ieee,55400.0,221600.0,55400.0,243965988.4766964,61516160.00000001,pglib_case14_ieee__patch_07__4-5,pglib_case14_ieee__pglib_case14_ieee__patch_07__4-5.json,55400.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,106740288.0,1926.72,481.68
pglib_case14_ieee,55400.0,0.0,55400.0,243965988.4766964,61516160.00000001,pglib_case14_ieee__patch_07__4-5,pglib_case14_ieee__pglib_case14_ieee__patch_07__4-5.json,55400.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,61516160.00000001,1110.4,
pglib_case14_ieee,19600.0,0.0,19600.0,86312876.78958935,21763840.0,pglib_case14_ieee__patch_08__12-13,pglib_case14_ieee__pglib_case14_ieee__patch_08__12-13.json,19600.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,26785324.789589338,1366.5982035504765,
pglib_case14_ieee,19600.0,78400.0,19600.0,86312876.78958935,21763840.0,pglib_case14_ieee__patch_08__12-13,pglib_case14_ieee__pglib_case14_ieee__patch_08__12-13.json,19600.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,37763712.0,1926.72,481.68
pglib_case14_ieee,19600.0,0.0,19600.0,86312876.78958935,21763840.0,pglib_case14_ieee__patch_08__12-13,pglib_case14_ieee__pglib_case14_ieee__patch_08__12-13.json,19600.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,21763840.0,1110.4,
pglib_case14_ieee,14700.0,0.0,14700.0,64734657.59219201,16322880.000000002,pglib_case14_ieee__patch_09__11-6,pglib_case14_ieee__pglib_case14_ieee__patch_09__11-6.json,14700.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,20088993.592192005,1366.5982035504765,
pglib_case14_ieee,14700.0,58800.0,14700.0,64734657.59219201,16322880.000000002,pglib_case14_ieee__patch_09__11-6,pglib_case14_ieee__pglib_case14_ieee__patch_09__11-6.json,14700.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,28322784.0,1926.72,481.68
pglib_case14_ieee,14700.0,0.0,14700.0,64734657.59219201,16322880.000000002,pglib_case14_ieee__patch_09__11-6,pglib_case14_ieee__pglib_case14_ieee__patch_09__11-6.json,14700.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,16322880.000000002,1110.4,
pglib_case30_ieee,117000.0,0.0,117000.0,515235029.8154057,129916800.00000001,pglib_case30_ieee__patch_01__5-7,pglib_case30_ieee__pglib_case30_ieee__patch_01__5-7.json,117000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,159891989.81540576,1366.5982035504765,
pglib_case30_ieee,117000.0,468000.0,117000.0,515235029.8154057,129916800.00000001,pglib_case30_ieee__patch_01__5-7,pglib_case30_ieee__pglib_case30_ieee__patch_01__5-7.json,117000.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,225426240.0,1926.72,481.68
pglib_case30_ieee,117000.0,0.0,117000.0,515235029.8154057,129916800.00000001,pglib_case30_ieee__patch_01__5-7,pglib_case30_ieee__pglib_case30_ieee__patch_01__5-7.json,117000.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,129916800.00000001,1110.4,
pglib_case30_ieee,30000.0,0.0,30000.0,132111546.10651429,33312000.000000004,pglib_case30_ieee__patch_02__6-8,pglib_case30_ieee__pglib_case30_ieee__patch_02__6-8.json,30000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,40997946.10651429,1366.5982035504765,
pglib_case30_ieee,30000.0,120000.0,30000.0,132111546.10651429,33312000.000000004,pglib_case30_ieee__patch_02__6-8,pglib_case30_ieee__pglib_case30_ieee__patch_02__6-8.json,30000.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,57801600.0,1926.72,481.68
pglib_case30_ieee,30000.0,0.0,30000.0,132111546.10651429,33312000.000000004,pglib_case30_ieee__patch_02__6-8,pglib_case30_ieee__pglib_case30_ieee__patch_02__6-8.json,30000.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,33312000.000000004,1110.4,
pglib_case30_ieee,23300.0,0.0,23300.0,102606634.1427261,25872320.000000004,pglib_case30_ieee__patch_03__10-21,pglib_case30_ieee__pglib_case30_ieee__patch_03__10-21.json,23300.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,31841738.1427261,1366.5982035504765,
pglib_case30_ieee,23300.0,93200.0,23300.0,102606634.1427261,25872320.000000004,pglib_case30_ieee__patch_03__10-21,pglib_case30_ieee__pglib_case30_ieee__patch_03__10-21.json,23300.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,44892576.0,1926.72,481.68
pglib_case30_ieee,23300.0,0.0,23300.0,102606634.1427261,25872320.000000004,pglib_case30_ieee__patch_03__10-21,pglib_case30_ieee__pglib_case30_ieee__patch_03__10-21.json,23300.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,25872320.000000004,1110.4,
pglib_case30_ieee,19400.0,0.0,19400.0,85432133.14887924,21541760.0,pglib_case30_ieee__patch_04__12-15,pglib_case30_ieee__pglib_case30_ieee__patch_04__12-15.json,19400.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,26512005.148879245,1366.5982035504765,
pglib_case30_ieee,19400.0,77600.0,19400.0,85432133.14887924,21541760.0,pglib_case30_ieee__patch_04__12-15,pglib_case30_ieee__pglib_case30_ieee__patch_04__12-15.json,19400.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,37378368.0,1926.72,481.68
pglib_case30_ieee,19400.0,0.0,19400.0,85432133.14887924,21541760.0,pglib_case30_ieee__patch_04__12-15,pglib_case30_ieee__pglib_case30_ieee__patch_04__12-15.json,19400.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,21541760.0,1110.4,
pglib_case30_ieee,13000.0,0.0,13000.0,57248336.64615619,14435200.000000002,pglib_case30_ieee__patch_05__29-30,pglib_case30_ieee__pglib_case30_ieee__patch_05__29-30.json,13000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,17765776.646156196,1366.5982035504765,
pglib_case30_ieee,13000.0,52000.0,13000.0,57248336.64615619,14435200.000000002,pglib_case30_ieee__patch_05__29-30,pglib_case30_ieee__pglib_case30_ieee__patch_05__29-30.json,13000.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,25047360.0,1926.72,481.68
pglib_case30_ieee,13000.0,0.0,13000.0,57248336.64615619,14435200.000000002,pglib_case30_ieee__patch_05__29-30,pglib_case30_ieee__pglib_case30_ieee__patch_05__29-30.json,13000.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,14435200.000000002,1110.4,
pglib_case30_ieee,12700.0,0.0,12700.0,55927221.18509105,14102080.000000002,pglib_case30_ieee__patch_06__18-19,pglib_case30_ieee__pglib_case30_ieee__patch_06__18-19.json,12700.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,17355797.185091052,1366.5982035504765,
pglib_case30_ieee,12700.0,50800.0,12700.0,55927221.18509105,14102080.000000002,pglib_case30_ieee__patch_06__18-19,pglib_case30_ieee__pglib_case30_ieee__patch_06__18-19.json,12700.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,24469344.0,1926.72,481.68
pglib_case30_ieee,12700.0,0.0,12700.0,55927221.18509105,14102080.000000002,pglib_case30_ieee__patch_06__18-19,pglib_case30_ieee__pglib_case30_ieee__patch_06__18-19.json,12700.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,14102080.000000002,1110.4,
pglib_case30_ieee,14800.0,0.0,14800.0,65175029.41254705,16433920.000000002,pglib_case30_ieee__patch_07__10-17,pglib_case30_ieee__pglib_case30_ieee__patch_07__10-17.json,14800.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,20225653.412547052,1366.5982035504765,
pglib_case30_ieee,14800.0,59200.0,14800.0,65175029.41254705,16433920.000000002,pglib_case30_ieee__patch_07__10-17,pglib_case30_ieee__pglib_case30_ieee__patch_07__10-17.json,14800.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,28515456.0,1926.72,481.68
pglib_case30_ieee,14800.0,0.0,14800.0,65175029.41254705,16433920.000000002,pglib_case30_ieee__patch_07__10-17,pglib_case30_ieee__pglib_case30_ieee__patch_07__10-17.json,14800.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,16433920.000000002,1110.4,
pglib_case30_ieee,11900.0,0.0,11900.0,52404246.62225067,13213760.000000002,pglib_case30_ieee__patch_08__23-24,pglib_case30_ieee__pglib_case30_ieee__patch_08__23-24.json,11900.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,16262518.62225067,1366.5982035504765,
pglib_case30_ieee,11900.0,47600.0,11900.0,52404246.62225067,13213760.000000002,pglib_case30_ieee__patch_08__23-24,pglib_case30_ieee__pglib_case30_ieee__patch_08__23-24.json,11900.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,22927968.0,1926.72,481.68
pglib_case30_ieee,11900.0,0.0,11900.0,52404246.62225067,13213760.000000002,pglib_case30_ieee__patch_08__23-24,pglib_case30_ieee__pglib_case30_ieee__patch_08__23-24.json,11900.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,13213760.000000002,1110.4,
pglib_case30_ieee,18800.0,0.0,18800.0,82789902.22674896,20875520.0,pglib_case30_ieee__patch_09__12-4,pglib_case30_ieee__pglib_case30_ieee__patch_09__12-4.json,18800.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,25692046.22674896,1366.5982035504765,
pglib_case30_ieee,18800.0,75200.0,18800.0,82789902.22674896,20875520.0,pglib_case30_ieee__patch_09__12-4,pglib_case30_ieee__pglib_case30_ieee__patch_09__12-4.json,18800.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,36222336.0,1926.72,481.68
pglib_case30_ieee,18800.0,0.0,18800.0,82789902.22674896,20875520.0,pglib_case30_ieee__patch_09__12-4,pglib_case30_ieee__pglib_case30_ieee__patch_09__12-4.json,18800.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,20875520.0,1110.4,
pglib_case30_ieee,17400.0,0.0,17400.0,76624696.74177828,19320960.0,pglib_case30_ieee__patch_10__12-14,pglib_case30_ieee__pglib_case30_ieee__patch_10__12-14.json,17400.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,23778808.74177829,1366.5982035504765,
pglib_case30_ieee,17400.0,69600.0,17400.0,76624696.74177828,19320960.0,pglib_case30_ieee__patch_10__12-14,pglib_case30_ieee__pglib_case30_ieee__patch_10__12-14.json,17400.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,33524928.0,1926.72,481.68
pglib_case30_ieee,17400.0,0.0,17400.0,76624696.74177828,19320960.0,pglib_case30_ieee__patch_10__12-14,pglib_case30_ieee__pglib_case30_ieee__patch_10__12-14.json,17400.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,19320960.0,1110.4,
pglib_case30_ieee,14700.0,0.0,14700.0,64734657.59219201,16322880.000000002,pglib_case30_ieee__patch_11__12-16,pglib_case30_ieee__pglib_case30_ieee__patch_11__12-16.json,14700.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,20088993.592192005,1366.5982035504765,
pglib_case30_ieee,14700.0,58800.0,14700.0,64734657.59219201,16322880.000000002,pglib_case30_ieee__patch_11__12-16,pglib_case30_ieee__pglib_case30_ieee__patch_11__12-16.json,14700.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,28322784.0,1926.72,481.68
pglib_case30_ieee,14700.0,0.0,14700.0,64734657.59219201,16322880.000000002,pglib_case30_ieee__patch_11__12-16,pglib_case30_ieee__pglib_case30_ieee__patch_11__12-16.json,14700.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,16322880.000000002,1110.4,
pglib_case30_ieee,3500.0,0.0,3500.0,15413013.712426668,3886400.0000000005,pglib_case30_ieee__patch_12__25-26,pglib_case30_ieee__pglib_case30_ieee__patch_12__25-26.json,3500.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,4783093.712426668,1366.5982035504765,
pglib_case30_ieee,3500.0,14000.0,3500.0,15413013.712426668,3886400.0000000005,pglib_case30_ieee__patch_12__25-26,pglib_case30_ieee__pglib_case30_ieee__patch_12__25-26.json,3500.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,6743520.0,1926.72,481.68
pglib_case30_ieee,3500.0,0.0,3500.0,15413013.712426668,3886400.0000000005,pglib_case30_ieee__patch_12__25-26,pglib_case30_ieee__pglib_case30_ieee__patch_12__25-26.json,3500.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,3886400.0000000005,1110.4,
pglib_case30_ieee,10000.0,0.0,10000.0,44037182.035504766,11104000.0,pglib_case30_ieee__patch_13__3-4,pglib_case30_ieee__pglib_case30_ieee__patch_13__3-4.json,10000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,13665982.035504764,1366.5982035504765,
pglib_case30_ieee,10000.0,40000.0,10000.0,44037182.035504766,11104000.0,pglib_case30_ieee__patch_13__3-4,pglib_case30_ieee__pglib_case30_ieee__patch_13__3-4.json,10000.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,19267200.0,1926.72,481.68
