coefficient_scaling_factor,continuous_variable_count,degree,integer_variable_count,max_abs_coefficient,payload_name,term_count,variable_count
4e-05,132,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS14_MG-BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS14_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
2.7736953207504658e-05,132,3,0,36052.98651653761,pglib_case14_ieee__renewable_shortfall_BUS3_MG-BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
2.7736953207504658e-05,66,3,0,36052.98651653761,pglib_case14_ieee__renewable_shortfall_BUS3_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS4_MG-BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__renewable_shortfall_BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,936,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS14_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,468,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,936,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,468,66
2.12434379296138e-05,132,3,0,47073.35993888159,pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,936,132
2.12434379296138e-05,66,3,0,47073.35993888159,pglib_case14_ieee__storm_forced_islanding_BUS3_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,468,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS4_MG-BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,936,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__storm_forced_islanding_BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS12_MG__from__demand_surge_BUS12_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS2_MG-BUS30_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
1.9637733918719026e-05,132,3,0,50922.3724152196,pglib_case30_ieee__demand_surge_BUS2_MG-BUS5_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS30_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
1.9637733918719026e-05,132,3,0,50922.3724152196,pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
1.9637733918719026e-05,66,3,0,50922.3724152196,pglib_case30_ieee__demand_surge_BUS5_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__demand_surge_BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS12_MG__from__local_generator_failure_BUS12_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,916,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS2_MG-BUS30_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,916,132
2.9723606789479113e-05,132,3,0,33643.29258836641,pglib_case30_ieee__local_generator_failure_BUS2_MG-BUS5_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,916,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,460,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,460,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS30_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
2.9723606789479113e-05,132,3,0,33643.29258836641,pglib_case30_ieee__local_generator_failure_BUS5_MG-BUS7_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
2.9723606789479113e-05,66,3,0,33643.29258836641,pglib_case30_ieee__local_generator_failure_BUS5_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__local_generator_failure_BUS7_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS12_MG__from__normal_BUS12_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS1_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__normal_BUS2_MG-BUS30_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
3.355889960680152e-05,132,3,0,29798.354884000004,pglib_case30_ieee__normal_BUS2_MG-BUS5_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS2_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS2_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS30_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
3.355889960680152e-05,132,3,0,29798.354884000004,pglib_case30_ieee__normal_BUS5_MG-BUS7_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
3.355889960680152e-05,66,3,0,29798.354884000004,pglib_case30_ieee__normal_BUS5_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__normal_BUS7_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS12_MG__from__pcc_failure_BUS12_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,924,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,468,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS2_MG-BUS30_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
2.9074962263982024e-05,132,3,0,34393.85375364002,pglib_case30_ieee__pcc_failure_BUS2_MG-BUS5_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS30_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
2.9074962263982024e-05,132,3,0,34393.85375364002,pglib_case30_ieee__pcc_failure_BUS5_MG-BUS7_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
2.9074962263982024e-05,66,3,0,34393.85375364002,pglib_case30_ieee__pcc_failure_BUS5_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__pcc_failure_BUS7_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS12_MG__from__renewable_shortfall_BUS12_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS2_MG-BUS30_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,912,132
2.6464831919989487e-05,132,3,0,37785.99475044001,pglib_case30_ieee__renewable_shortfall_BUS2_MG-BUS5_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS30_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,456,66
2.6464831919989487e-05,132,3,0,37785.99475044001,pglib_case30_ieee__renewable_shortfall_BUS5_MG-BUS7_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,912,132
2.6464831919989487e-05,66,3,0,37785.99475044001,pglib_case30_ieee__renewable_shortfall_BUS5_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__renewable_shortfall_BUS7_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS12_MG__from__storm_forced_islanding_BUS12_MG.json,468,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,936,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,468,66
4e-05,132,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS2_MG-BUS30_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,936,132
2.013248200057123e-05,132,3,0,49670.97449641959,pglib_case30_ieee__storm_forced_islanding_BUS2_MG-BUS5_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG.json,936,132
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS30_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,468,66
2.013248200057123e-05,132,3,0,49670.97449641959,pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG.json,936,132
2.013248200057123e-05,66,3,0,49670.97449641959,pglib_case30_ieee__storm_forced_islanding_BUS5_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case30_ieee__storm_forced_islanding_BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG.json,468,66
