coefficient_scaling_factor,contains_challenge_penalty_components,degree,horizon,patch_ids,payload_name,payload_path,qci_executable,scenario,source_benchmark,source_payload_id,source_payload_path,term_count,variable_count
4e-05,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,True,3,6,"[""BUS1_MG""]",pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS2_MG""]",pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
1.9825915339338025e-05,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
1.9825915339338025e-05,True,3,6,"[""BUS3_MG""]",pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS4_MG"", ""BUS9_MG""]",pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,True,3,6,"[""BUS4_MG""]",pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS9_MG""]",pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS14_MG"", ""BUS1_MG""]",pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,True,3,6,"[""BUS14_MG""]",pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,916,132
4e-05,True,3,6,"[""BUS1_MG""]",pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS2_MG""]",pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,460,66
3.1513016471157156e-05,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
3.1513016471157156e-05,True,3,6,"[""BUS3_MG""]",pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS4_MG"", ""BUS9_MG""]",pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,True,3,6,"[""BUS4_MG""]",pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS9_MG""]",pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,True,local_generator_failure,pglib_case14_ieee,local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS14_MG"", ""BUS1_MG""]",pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,True,normal,pglib_case14_ieee,normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,True,3,6,"[""BUS14_MG""]",pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,True,normal,pglib_case14_ieee,normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,True,normal,pglib_case14_ieee,normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,True,3,6,"[""BUS1_MG""]",pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,True,normal,pglib_case14_ieee,normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS2_MG""]",pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,True,normal,pglib_case14_ieee,normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
3.4685270827764116e-05,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,True,normal,pglib_case14_ieee,normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
3.4685270827764116e-05,True,3,6,"[""BUS3_MG""]",pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,True,normal,pglib_case14_ieee,normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS4_MG"", ""BUS9_MG""]",pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,True,normal,pglib_case14_ieee,normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,True,3,6,"[""BUS4_MG""]",pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,True,normal,pglib_case14_ieee,normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS9_MG""]",pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,True,normal,pglib_case14_ieee,normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,True,3,6,"[""BUS14_MG"", ""BUS1_MG""]",pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case14_ieee,pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,924,132
4e-05,True,3,6,"[""BUS14_MG""]",pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case14_ieee,pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case14_ieee,pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,924,132
4e-05,True,3,6,"[""BUS1_MG""]",pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case14_ieee,pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,468,66
4e-05,True,3,6,"[""BUS2_MG""]",pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case14_ieee,pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
