benchmark	payload_name	variable_count	degree	sha256
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_06__18-19.json	103	3	7b198619c9901a19821a01f006bd0d4a76c53aceeea19113fad650b69b194aef
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_07__10-17.json	103	3	e788b025f00bf481734c7ea25aa4c10d1a22c46d68ac64ab85fa976549b4882b
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_08__23-24.json	103	3	a1845732f6dd2336c5d1667563731ec0f1567150f2195f25431d8da04b4403df
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_09__12-4.json	103	3	67092641a33648c5d3009b67ba9e9ddca94e364ea1a6506883ca4d5686fa7436
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_10__12-14.json	103	3	f21438b857449d26fe2018d27825a1bd99057c317a1de7df7b4fa6812d292346
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_11__12-16.json	103	3	e0c5b1283696ea3bb83ed932c6e752dbd85a93cc410c0d7e44c7120313e1c47a
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_12__25-26.json	103	3	178f291ebf66f1fe27634c5f9068485543dc46e32e58c437fce0c6c529e9eaab
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_13__3-4.json	103	3	7abc84cf41b2d763895627da7705bacdf32f26640181be8be74f8ea413da0942
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_14__19-20.json	103	3	917cafd6c8df3660807bf347bfb29b1e41d5db34cd22ee4fa64919459c9fa656
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json	103	3	9c6a4f20a7569b53a3828f917e8d77b6c96bd1ceeef69d291efa2d9466e479ac
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json	103	3	3f2f54e6cea9646318133788aad24298cbdf4ef721b109fdafa820a175d8246a
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json	103	3	dac0da373ab3628f118b5caa33e1c0712e867b55eca41870bcb755ff542ae616
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json	103	3	8fd03bb4cb7ad0c96eddfd3f6c8d79a6c099e2fa6d892da9c07bccd0208073f9
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json	103	3	d542b027e649f5327dc918d9b59f776e276d99c8f3e0b8b8d9c65f63d2fd0434
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json	103	3	1391ceba54c366d108b595ae9288f90ba9b648eb7a403a1b52e24ce8b927f7be
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json	103	3	f68df26a245d4fdde73716ef3192ffc5ebdb99b522536839207a7d80d2845b8f
arpae_go_network_01o_020	arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json	103	3	4261ae6f4d841a254e8803b8399e314e10148313aeaad561d869a1bf5c8e1e41
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json	103	3	d05fe4d141c0fd20b2fbddea60b075670630aa2ce5cb9d70fafe6fd8c2e5c027
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json	103	3	12f4f15837f7a9edd003816651c4b59b915187c5b1336c9ed5aa7616ef336462
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json	103	3	02931f15ac56ab97cea10f68518118dff8ce3839c5efc6b32de4367ae00a9e89
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json	103	3	e3469f135c0d47b195bbaa2b3dbd5bfa25eb4e643a0c340ed308cafc363b08e3
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json	103	3	ada6c76f1cf777ba2c2e7e4120e3bdc5c021416761b51421221ee3da00e2d6b6
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json	103	3	16f021d51afde02d7f5ed8e4d51488959c6157a747bb8f8d5e2b426d38897f7d
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json	103	3	512db8ca594afb8f73c0b987e1ffdf897432316b136e4473def0bfc5e65bdd71
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json	103	3	27f8180a487a39d58d8ff917279ad5388fe9450c5e67533810ab9430f53e817f
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json	103	3	4d9d1eef5848561c5b9353dba14486934559b38dfe4c3ef08f346a2cd6154706
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json	103	3	20285f039e5bde8ec265be4a24a8a7575831062c2ea377d222845c9b6c6290e8
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json	103	3	4b7151e208f05489dbd2b20c79f6c9ae8c676ca2847149e2b66111ec9f9cd43d
ieee123_opendss	ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json	103	3	a44e522edadd76f88f16efa3941fc0f00737a6fd9abc754bf056361d08fdc7eb
