portfolio_signature,upgrade_cost,critical_ens,total_ens,technology_mix,selected_asset_count,upgrade_cost_band,critical_ens_band,total_ens_band,selected_asset_count_band,split
025ad95362b04fe7c3fd2bd9b1be0385766fd44c0fbc847e732a900c811ac0c1,3256706.133503086,60.625,240.625,bess+dispatchable_generation+pv,16,0,3,3,0,train
0263e8cd67103ec4c50d66d545cc8d36fa9f689e34acd542971884a2bc67438d,4824854.4682368,50.625,230.625,bess+dispatchable_generation+pv,18,2,0,0,0,train
026ef69fc999ece0c7726329dbde8ecd415698ebdcd15154728b3e4ef43962c1,4689290.107136305,157.5,337.5,bess+dispatchable_generation+pv,19,1,4,4,1,test
0270d633207a95f4c0e68b385d0d2d7852b831984b9fdbcedc4e78a936a805df,4144292.0209350097,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,train
02798bc0240bfe5e338600ee50a87f8fd0e8b775b7e138a4077d92960d5486b1,3806906.4927929905,86.25,266.25,bess+dispatchable_generation+pv,15,0,4,4,0,train
027b2ed37136e26f58956772fadc99ca56c193d4d405cdadfaa22f61d56b8877,4935596.04368061,50.625,230.625,bess+dispatchable_generation+pv,19,2,0,0,1,train
0284e1c9969c7339c84d5a79fdef97a1b166cb68ee914d4ba831703ee02e74ed,5267151.648461714,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,train
028784cc66f38eb8e49b72bafd1555217130e915fcc672493df9bcd384d2de43,4166876.856864,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,validation
029dc72f82bd1ade99ad4264c24ceb0db4f47d79de275abae1f0deea3bbabb25,4342391.232307809,157.5,337.5,bess+dispatchable_generation+pv,18,1,4,4,0,train
02a05fc40d21a33f2da71340b99725c7b858a877fdcb5a761c4aa887913ee5ae,3749649.501775238,60.625,240.625,bess+dispatchable_generation+pv,18,0,3,3,0,test
02a25828f6070c9395fd96e49dc0c6ae5508197074bd1c35cbc9ef89b664c948,3791227.673017905,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
02c9bee00686c2fba2d528b49acf3f5298626cb0c55e3daeb64f22701e91e593,4142579.3137280005,50.625,230.625,bess+dispatchable_generation+pv,16,0,0,0,0,train
02d4b33814e078556c47d829f8a651693cbdbf6c60691a534f1c9fe9b5559562,4760955.124520838,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,train
02ff9998227cedbf316fdca4684aa191d8fb3d83ae83da55c941c7337dc858c4,2859447.4969941336,50.625,230.625,bess+dispatchable_generation+pv,16,0,0,0,0,test
03064de93094234ab1a86a2698785c04924d31583b9062bfff3c7ec7b25e8eed,6057650.235858286,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,test
030b2f30c00f7bc76f273c6cc73bdf01181c208028ab207155dba47e5565260b,5655598.46461562,50.625,230.625,bess+dispatchable_generation+pv,21,4,0,0,2,train
037a91acd824e3655eaae0dc7cb4be8f4ea0a570520ae90829a988243e1b36fb,4676463.376023771,50.625,230.625,bess+dispatchable_generation+pv,20,1,0,0,1,test
03945f81de308988ed3648643e720fef285e22a9058e225290803ba9c2e39d90,7736788.312497372,50.625,230.625,bess+dispatchable_generation+pv,32,4,0,0,4,validation
0399ae39921e1efd9ad043139791d3a37bcf9c90ce8dee655ac855af9227fdeb,4773933.753278172,50.625,230.625,bess+dispatchable_generation+pv,20,1,0,0,1,test
039c70a1c91cbad7d70445af5282df23bd15d0950ae8ce953cbac502b7b9f4ca,4224742.789787124,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
03aab95d229647f62b58acad1f633033b80e600e10a301d57a00b0c81b40bb8b,5539494.203550477,50.625,230.625,bess+dispatchable_generation+pv,18,3,0,0,0,train
03b1db2d90581b4debaa467094f64fdbe7e15f434ae04b26dd6eac68f83ffc50,5249687.376023771,50.625,230.625,bess+dispatchable_generation+pv,20,3,0,0,1,train
03bfe46a39218cee59abc67e79ffbdb65ffb3a41bc34564c28fe281ca6aa0b35,4153479.4478817526,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,test
03d9038a04140bcded4e39ce185a85792cd56628ce38cf7ca898884490ccf735,5978543.467006172,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,train
03dab88a566009b8580dfd32054321659bed6570bbef8071b8c9b2dc583bae2a,4821871.444260572,60.625,240.625,bess+dispatchable_generation+pv,20,2,3,3,1,train
040979fce8d56d6daa2fc207763fe69698ce9261a7bb5b5a69c4cbce3f55b98c,4378896.355668724,50.625,230.625,bess+dispatchable_generation+pv,16,1,0,0,0,train
041d2166cdd18016dd8fe6f55ef235b53eb7723cf163735bfb12cd36f4c31c15,5813060.592177676,50.625,230.625,bess+dispatchable_generation+pv,22,4,0,0,3,train
043057fcb05c2709778bb6edf4994a00e431841451c0950277d6f43883f420ba,5380128.064615619,50.625,230.625,bess+dispatchable_generation+pv,23,3,0,0,4,train
043a68247393c42851032cfa49c9618c410706e4f01dbca1385ed3b6dafee0ad,4225103.565230934,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,validation
043c522c775019c5cb8f4278fe0e8b7eb005ed4dd388b52841b3cdd451892fd9,5255807.697574096,86.25,266.25,bess+dispatchable_generation+pv,20,3,4,4,1,train
0463e40e547f4b8f1abb2c7994985f1a1238b50bd08a7d0e7ff978eb578ed656,4859448.117349181,50.625,230.625,bess+dispatchable_generation+pv,20,2,0,0,1,train
046cd5eb74c82323e733cba3f68ec98beef5c04c7877e379dc8e8610ac3856ed,3868649.0251361527,50.625,230.625,bess+dispatchable_generation+pv,18,0,0,0,0,test
049b709b48d535d47fdacf402121ac91b901eda5da5e9a313e7c32b5b248f34f,5675921.7251008,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,validation
04aa35721b22de7e0932e4283b05e225db2d021f1934cfe4445915caea4b9214,5229445.832887772,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,test
04bd2f63f080171aee4a5d6e136b424d1c06d2c1309e7d628e7737a80dc0cea5,4598823.708946896,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,train
04d05f51593c9d042c4ffe14d59aa8aed660e9377e3f80194e826f852f70f0ce,4600595.839479467,50.625,230.625,bess+dispatchable_generation+pv,17,1,0,0,0,train
04ffd62118da24c447e8ada22c516c8657e75bb611142491dcdd48769e2e0a44,5523584.125100801,50.625,230.625,bess+dispatchable_generation+pv,23,3,0,0,4,validation
053053cca066fe059ba56df6c11dcb6ca5c35ba99a233767f34e5acc9783e17f,7407456.492142324,50.625,230.625,bess+dispatchable_generation+pv,30,4,0,0,4,train
053c1466697e975a2028520f8ba1df8c7268d066a9ee8e7a844cc9212f4c9d5a,5984818.810722134,80.625,260.625,bess+dispatchable_generation+pv,24,4,4,4,4,test
0571465255f15f037aff4a0c3bdec6f5f9743053499a40c5a92d25acd13943df,5111449.464035657,157.5,337.5,bess+dispatchable_generation+pv,19,2,4,4,1,train
05903d34f59f57367ae30b81f6e46b3e1275fc68e579657017f8d6db950c92d9,4621818.719739733,157.5,337.5,bess+dispatchable_generation+pv,17,1,4,4,0,train
05944fe38053e82ffeae397298cf5904d13ae3ac283068f2b0e1255952c5dbef,3829969.3353136764,50.625,230.625,bess+dispatchable_generation+pv,16,0,0,0,0,test
05a3484a2dd0cc7e5f506911306542f9b3f8c22293a4bbb610d021ce3034c727,4732179.026296076,80.625,260.625,bess+dispatchable_generation+pv,18,1,4,4,0,validation
05aebaac2deb17cf289c46a3ad592eed5b6f1832acc67e314273d9ac99630562,7922144.492142324,50.625,230.625,bess+dispatchable_generation+pv,32,4,0,0,4,test
05b1faf7ddd4a07ea1c8d2759dc32c96621a2ecdd8378ee145894d811c6cfc8f,5594457.880189562,50.625,230.625,bess+dispatchable_generation+pv,22,3,0,0,3,train
05b5434395dbd904e0c87b17ab8d57e988bd7e8873227df9b2968e1d6684ba77,4805231.028106667,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,validation
05c7deee90ab8434e4cd8c7580b0f9a6c5c3f6f3bbd1368e46f729e905548bd4,5206383.648461714,60.625,240.625,bess+dispatchable_generation+pv,22,3,3,3,3,train
05e58985046a38a577d9c73fa9de5da00f68f9ad04d6512e06b9903e3995365f,4302784.616733867,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,validation
05f0cffaae3037e6994b96ba4a25f277d53a019d50f2c217f54e427d9a318f1f,4936153.119739734,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,train
060f5c43dc59e87a98f69289d84acf24333d6ddb3e4506c5eedd2a93f24de1e4,4840351.720319696,86.25,266.25,bess+dispatchable_generation+pv,18,2,4,4,0,train
062bdf6a309dcb94627df65ab5c120f119213d578978506fb273fe4e73b00a61,4209641.6454912005,50.625,230.625,bess+dispatchable_generation+pv,16,0,0,0,0,train
062cc134a91461867fd31e22ffe5628bb11f4676b39510338b9418ed2714308b,5136495.482000153,50.625,230.625,bess+dispatchable_generation+pv,22,2,0,0,3,train
065159f58d984539ef279bc35fb233c2f7349561621cfe9bc93c16dc43b5ab5b,4979648.151467581,50.625,230.625,bess+dispatchable_generation+pv,18,2,0,0,0,train
067d44e091ece3922038b513394ee8cb8b72553f9b82d3ea121f2c1886d3ff31,7866132.312497372,50.625,230.625,bess+dispatchable_generation+pv,32,4,0,0,4,test
06b70b5a1595bed192a5dd0b2ff8f1b544c8b441103c0c9a67db6f2ecabec390,6546806.2717872765,50.625,230.625,bess+dispatchable_generation+pv,25,4,0,0,4,test
06cbfaca5bd553639a5701f714e2f811cb4c1bef4279a4f9b3fb3729b9427a39,6094878.608331582,50.625,230.625,bess+dispatchable_generation+pv,23,4,0,0,4,test
06ce7f8ff489ac599357781426e88a20d922d351de3b9042eee827d31566890c,4783518.324520838,50.625,230.625,bess+dispatchable_generation+pv,20,1,0,0,1,train
072d907da1734c394fa2250947b5647ea29311be1768ee095645ffdd2735266f,5271209.441290057,50.625,230.625,bess+dispatchable_generation+pv,20,3,0,0,1,train
07335b1d2a298dbc58c9e061e1ad81c7e8fc144f051ca6c8554090bb142c84ba,4454714.299964648,50.625,230.625,bess+dispatchable_generation+pv,17,1,0,0,0,train
0780a88a263b3af8627b62724311f08b1ef5562d9989041a3e689cd9bf1c3787,4433793.2407100955,50.625,230.625,bess+dispatchable_generation+pv,17,1,0,0,0,validation
07869b8eb36932bc59098b786360da87e05b4d18b154ad01ceefb48fb4ca0e22,4704340.425716114,50.625,230.625,bess+dispatchable_generation+pv,22,1,0,0,3,train
07c4fcfd6cb997611d2a0d41090c8e366bbc92ab22b4a1f1354c3751321a85eb,4972354.250852267,50.625,230.625,bess+dispatchable_generation+pv,22,2,0,0,3,train
07d43d917cd7dee10ebd10ffad23c3a79583618d5663c25c0a86edfb61cf5483,4776180.686781257,50.625,230.625,bess+dispatchable_generation+pv,18,1,0,0,0,train
07db5dd6e9e8f3036c66e59ca084a3a1e1a13048bf269a9e99260d4beb36924e,4149039.720319696,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
07e8917dc9de18eedbb64920eef439efd52fec012f4c3add7bb9c1d4de2e8738,4235552.616733867,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
080cbc7f850387362fba736b42cbe1dc18a2052c8ecc1200180c42e03d0a9cfe,5410620.747266439,50.625,230.625,bess+dispatchable_generation+pv,19,3,0,0,1,train
080e7b5939cb5e034c8d733da5438394c2dcde3f4b5f6eaacc476f38b4043625,5941936.030497219,50.625,230.625,bess+dispatchable_generation+pv,21,4,0,0,2,train
080f00326014c5cec8d941a8c94a9a7426072fe967b710036b226f59b9598d72,4444376.722710248,50.625,230.625,bess+dispatchable_generation+pv,21,1,0,0,2,train
081b4728cb78a26405368156bd12d74985e48e2eb82c0dcca203e7bbeaee5c66,5273762.167621486,80.625,260.625,bess+dispatchable_generation+pv,21,3,4,4,2,train
08256a3bb092afd66d37a0790d523e42aac7b35269a802eb066cba0ab4f9b8a8,4121085.204781105,50.625,230.625,bess+dispatchable_generation+pv,18,0,0,0,0,test
082b8e170893d1fa608fda487a96c06546c1546ee40576d9837231f22f253d5e,4382895.769432076,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,train
0832db582379a0d7e84ce5a11d2f2574b3a19eac4da3fe188b13b0b39972fc06,5405863.697574096,60.625,240.625,bess+dispatchable_generation+pv,21,3,3,3,2,train
087ae080c3e59a626b6f79f47f2f72f2c1a6cb234eb8e197ee002da3a4ba6863,4098631.6862012953,157.5,337.5,bess+dispatchable_generation+pv,20,0,4,4,1,train
087f558075ac4d214506d7423c2299d9f7b838dc00cd52a6dc86eef41d07fcd4,5516139.922710248,50.625,230.625,bess+dispatchable_generation+pv,20,3,0,0,1,train
088cd21f4baa69233aa5d37402a54c50c98c7f710912d978a503ad28bf2471d8,6074918.574213182,50.625,230.625,bess+dispatchable_generation+pv,23,4,0,0,4,train
089ca6b6bb653789966601d01d8ef12d78f8d6eda8c654d190e169c5c660ca36,4144620.2969941334,50.625,230.625,bess+dispatchable_generation+pv,18,0,0,0,0,train
08b1611e652d8d5868bb7ca01a5b7b9e8d1378b47f68b925e50c781f322663b4,4450804.535313676,50.625,230.625,bess+dispatchable_generation+pv,17,1,0,0,0,train
08bb147f4f34cfa93b3a8bbf42c7f92a80e06aa61e1f51bddaa9d27c34f539d0,3378751.6975740953,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,train
08c719efdfb0e4cd35761de10a29354bbb31eada3fa3524d8c21ae6e9ad499d7,3640321.6454912,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,test
08cef9bec7e88a64ba9b3725864c21b424c1f3fdd7e2b03d0a757016325424f6,4706619.661645105,50.625,230.625,bess+dispatchable_generation+pv,20,1,0,0,1,train
08e1fa4bd41c331d3d7d261247853490e8a3dc7df76a184fa8776f9fdac1809c,5740388.06642621,50.625,230.625,bess+dispatchable_generation+pv,23,4,0,0,4,test
0905523b88ddab1e0e5f4f528fd9c7405a2f74b24e610bd7d7510a84f2b30a06,4697292.989207162,157.5,337.5,bess+dispatchable_generation+pv,20,1,4,4,1,train
090f5d0bf28546f53bc3e0a3db16058c182a2143144e98ff166bcda3f49df257,5502321.846071162,50.625,230.625,bess+dispatchable_generation+pv,22,3,0,0,3,validation
09213a1684e555de6ef86d3b97fbe3619fe24ceecb9b011f208b32128cdd00d0,5210641.055633372,50.625,230.625,bess+dispatchable_generation+pv,22,3,0,0,3,validation
0942b1a32fa35b05214c2c0f80c73ffc00b137dc52fcf4b8c0daad92a040544c,5674935.383775391,157.5,337.5,bess+dispatchable_generation+pv,23,4,4,4,4,test
09561dcc813c054dff368a86b686d881e596ce8bbb220d9c3e05ac609fb62c66,4532979.922710248,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,test
0968bbe8cd9a2e9a7a86501fe2a08797aee09a9590f778659f83c6c710ec14a1,3950317.6814201907,50.625,230.625,bess+dispatchable_generation+pv,18,0,0,0,0,test
096cfe3bb8870ba2af2166a9359a44f40e082dda75fbfc0958a20d4854f5ca2f,4336983.292792991,86.25,266.25,bess+dispatchable_generation+pv,17,1,4,4,0,train
09749f9547f491489f5beabc0001fc06c804aa0ac77cf32d7719998ac3b8a550,5303918.45324282,60.625,240.625,bess+dispatchable_generation+pv,23,3,3,3,4,validation
098ce42d85cfafb3bdae0f16f60874a8ed3e1bef3a15cd52f3df8632eaf6fb50,4328563.3287219815,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,train
09a5f2ef90739accf49d29ff58bab331a0ff502a46b54a8883e9cb00552a1c73,6245759.599349334,50.625,230.625,bess+dispatchable_generation+pv,26,4,0,0,4,test
09ea583bc8b9e7b29fd74c4d48687c3dd84c5989c343e020f8aa653230bfab3d,3555573.132923124,157.5,337.5,bess+dispatchable_generation+pv,16,0,4,4,0,train
0a0b6f8a1611d10375d8b73cc16d54443f841002b5d72711ca41058cf5a025e6,6153836.686781257,50.625,230.625,bess+dispatchable_generation+pv,22,4,0,0,3,train
0a23ea9fa0215c52f45cdab62d80a6e01ac80e74dddae7328ffd51abbc76b924,3661123.389207162,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,validation
0a70d15ed2862ba22933ce48d3f4e87433bae3f5c5d25b5ce215b03d8f73f589,4348567.099964648,157.5,337.5,bess+dispatchable_generation+pv,19,1,4,4,1,train
0a93f1c39b76f6c2941f11c73bffe3f01fb075df8b36f3a9d15587a09647faf0,5984530.776603733,50.625,230.625,bess+dispatchable_generation+pv,26,4,0,0,4,train
0aa667ad02ab96db1e1f87a1c4dafda987ab82e5700db4f05839ce42ebe367e1,4793570.610142171,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,train
0aac10535764c4922f5c8fa0fa3549c7b7db9fb38ff75a687fe3ea708b591961,4702843.949077029,50.625,230.625,bess+dispatchable_generation+pv,20,1,0,0,1,train
0abb2a6b5f2f365f4ce527ef09bc96e01a715c7dd444be790ee6347256dd9cff,5531954.213112686,80.625,260.625,bess+dispatchable_generation+pv,26,3,4,4,4,train
0ae3ffaf1a00ce692ec3eaf5279792550d093f40c27655feebfe97dc87485132,4960606.071207315,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,test
0afac9e37d2870f0df186b9861489f26905819c87aa2352c5462da217ce02a30,6252231.156828648,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,test
0b158ca9c414ed52faee80df5edfbd8aec81aedd01b5dc8606fa2752a3308aa7,5770445.916118553,50.625,230.625,bess+dispatchable_generation+pv,21,4,0,0,2,train
0b5552ab6b7f849ea66378a867e5efbcd6be7475033a762d41b0593f1d1c3bc6,4633127.251432229,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,train
0b642d3b165e3d21592f125e01e13e7c2dc65b69d0694c7c756cd2325ef71819,4962116.338864152,50.625,230.625,bess+dispatchable_generation+pv,20,2,0,0,1,train
0b69e5af459f331d8810eb35424e4c72fbeb2142fba9bc7a2c578de1dcb01a68,6477766.619704382,50.625,230.625,bess+dispatchable_generation+pv,25,4,0,0,4,test
0b6da7ab22eea0b22bb3decb81b6f860bac07f865722c8d5a87fa1b0827fec82,3983850.3604498287,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,train
0ba8dba535f5491cf6b1ee9259f0831dd4be9989be6dd9050942ad962c52f03d,4766226.171242666,50.625,230.625,bess+dispatchable_generation+pv,19,1,0,0,1,validation
0bb22903c04227d390bfac575eb1f61ee309cbd9128503150d4153da7a4f76cf,5202988.1724025905,50.625,230.625,bess+dispatchable_generation+pv,23,3,0,0,4,train
0bbe7a843ede59d773a4bd4c125bb9c501fb0058abaa7534a9048336eaf648c5,5371589.068816762,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,train
0bcfc0bf00c01ee762bbd275e40ee9adadf9bb98b49c7ef75c6768a2fdbf150a,6504851.835858286,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,test
0bdcfaadb0cd719b53cb557ac742607c250a59b633043e4d2d4a19fe399fb752,4516853.511337448,50.625,230.625,bess+dispatchable_generation+pv,18,1,0,0,0,train
0bec0d69671ceca140f2d4aff21fc964ff58bf3dee79a7e99c728622a95af5de,6065764.12329021,86.25,266.25,bess+dispatchable_generation+pv,23,4,4,4,4,train
0bee7d93d87eeade04eae60d62f803591302c0ae1705bcaa9f37e7a273904907,5363224.840059429,50.625,230.625,bess+dispatchable_generation+pv,24,3,0,0,4,validation
0c0e68aa915153f1b637f65800208c9b2032c772bd120dd922f1bf38f424531a,6056504.987396572,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,test
0c440b48f9cecb906af57109ddbf96ba3429bf4eaa8ce1f77b53a95b56f30b2b,5087176.760449829,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,validation
0c49141548b50925817c0531c1307b898f7251db2366947b29e93c52d1862916,3847032.211952762,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,train
0c69e2890f62ae19319e6bb46b6023a4f6c4993870d8d760004bf155b9f4eb32,5294354.667006172,50.625,230.625,bess+dispatchable_generation+pv,20,3,0,0,1,train
0c788e9a6306e67b51b3d1c1abeffc186b1eb4961582c7dfc03a65ecc61469f8,4071228.7736332193,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
0c82cfacf51777eafa84f44ea38d9415b158a185b66793b945e2bd2a949a9a01,4792611.850852267,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,test
0c8498ddefd8b90fd9e7b0acddeb8bb71d574e30fe8b961bbaca0489f16445b2,4800751.901775238,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,test
0c96eb2ca243ddf77f9978bda7aad87aea1f15da99ed330441467191bbfb4f33,5392472.427526705,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,train
0c9e9235e5ee013353277355a627ffcc8c676fa4e9f8f692a375fa50fc27762c,3956735.7694320767,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,test
0cc5b13dc0472e16a3713a7cb561695e327928fa573ce15b3d0770b54412d8d0,4710637.68917181,86.25,266.25,bess+dispatchable_generation+pv,21,1,4,4,2,train
0ce1b5afe8c878278b8e6caeb2d7f193b05117ebc020d784f52eccf80890a425,4166397.7155385907,157.5,337.5,bess+dispatchable_generation+pv,17,0,4,4,0,test
0cee1efb798f6255e9b84140b50aefcdc68d824178a480f60f86f14ab79000bf,4192950.3131480385,50.625,230.625,bess+dispatchable_generation+pv,18,0,0,0,0,test
0cee8f663a0891b3bdbdea1859fdb670b38cabbf3adbd8e7d6e87c7d4953eecf,5874988.664035657,157.5,337.5,bess+dispatchable_generation+pv,23,4,4,4,4,validation
0d0a0f0cb660a06d71441c117dacdadfda02aa06f7c24b19a70936668cbd0133,5952843.25324282,80.625,260.625,bess+dispatchable_generation+pv,25,4,4,4,4,validation
0d10792a754c74765dfceb02e3de475349291c58333c57f65daf56de7b487d42,5008587.684390705,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,train
0d16281c3d0348807cc698938b5d2cd10e56d53eff76310a096430a6638e4994,4156197.6814201907,157.5,337.5,bess+dispatchable_generation+pv,18,0,4,4,0,validation
0d18216a5b6933a92ef3d11f2dd447db81600f7a1f10af4f3c70650c2b2fddb4,6472609.68736122,50.625,230.625,bess+dispatchable_generation+pv,24,4,0,0,4,test
0d3bcd3dba6e32ac7e2326115d4d657fc4cc06589534cbc22288dd12a7a7a62a,4946678.313148038,80.625,260.625,bess+dispatchable_generation+pv,19,2,4,4,1,train
0d525d6826f68de1939d9ff0a38e1f3f78c784e03e456ab5d3e5e5b60c05c078,4791427.971822629,50.625,230.625,bess+dispatchable_generation+pv,22,2,0,0,3,train
