response_path,request_path,job_id,status,request_mode,response_mode,effective_mode,problem_config,device_config,job_type,job_type_source,sum_constraint,request_sum_constraint,response_sum_constraint,num_levels,declared_upper_bounds,raw_sample_count,native_integral_sample_count,native_in_domain_sample_count,native_feasible_sample_count,raw_coordinate_count,integral_coordinate_count,fractional_or_invalid_coordinate_count,in_bounds_coordinate_count,bounds_check_available,all_raw_coordinates_integral,all_raw_coordinates_in_bounds,solution_minimum,solution_maximum,projected_sample_counted_native,nonzero_coefficient_count,maximum_nonzero_coefficient,minimum_nonzero_coefficient,coefficient_dynamic_range
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58180208442f441bbb185b,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1440,2520,0,False,False,False,0.0,396.2022705,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bdc08442f441bbb185e,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,888,1092,0,False,False,False,0.0,727.8084106,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bdd08442f441bbb185f,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1430,2530,0,False,False,False,0.0,392.7692261,False,878,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bde08442f441bbb1860,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,668,1312,0,False,False,False,0.0,633.3411255,False,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bde08442f441bbb1862,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,336,1644,0,False,False,False,0.0,704.7944336,False,441,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581bde08442f441bbb1861,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1441,2519,0,False,False,False,0.0,449.2060852,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581fb308442f441bbb1865,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1178,802,0,False,False,False,0.0,692.3657837,False,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581fb308442f441bbb1866,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1440,2520,0,False,False,False,0.0,406.1672363,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5823a908442f441bbb186d,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,957,1023,0,False,False,False,0.0,745.6925659,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5823aa08442f441bbb186f,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,946,1034,0,False,False,False,0.0,683.5249023,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a5823aa08442f441bbb186e,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1442,2518,0,False,False,False,0.0,494.7243347,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263208442f441bbb1875,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1034,946,0,False,False,False,0.0,845.0415039,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263308442f441bbb1876,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1440,2520,0,False,False,False,0.0,448.3597107,False,874,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263508442f441bbb1878,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,771,1209,0,False,False,False,0.0,776.3199463,False,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263508442f441bbb1877,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,888,1092,0,False,False,False,0.0,800.5839844,False,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58263f08442f441bbb187a,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1443,2517,0,False,False,False,0.0,524.4648438,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58264008442f441bbb187b,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1157,823,0,False,False,False,0.0,875.5394287,False,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58267e08442f441bbb187c,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1441,2519,0,False,False,False,0.0,539.8374634,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5829a608442f441bbb1880,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1121,859,0,False,False,False,0.0,852.7675171,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5829a608442f441bbb187f,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,933,1047,0,False,False,False,0.0,815.7210083,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a5829a908442f441bbb1881,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1766,2194,0,False,False,False,0.0,512.4297485,False,886,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4608442f441bbb1883,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,755,1225,0,False,False,False,0.0,753.5352783,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4608442f441bbb1884,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1597,2363,0,False,False,False,0.0,489.9866028,False,886,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4708442f441bbb1885,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,264,1716,0,False,False,False,0.0,1214.0092773,False,449,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58eac808442f441bbb1b37,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,977,1003,0,False,False,False,0.0,684.3984375,False,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58303d08442f441bbb188b,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1443,2517,0,False,False,False,0.0,358.9623718,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58303d08442f441bbb188c,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1283,697,0,False,False,False,0.0,742.095459,False,437,25000.0,1.74e-06,14367816091.954023
