response_path,request_path,job_id,response_mode,nonzero_coefficient_count,maximum_nonzero_coefficient,minimum_nonzero_coefficient,coefficient_dynamic_range
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bdc08442f441bbb185e,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bdd08442f441bbb185f,normalized_continuous_qudit,878,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bde08442f441bbb1860,normalized_continuous_qudit,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a581bde08442f441bbb1862,normalized_continuous_qudit,441,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581bde08442f441bbb1861,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581fb308442f441bbb1865,normalized_continuous_qudit,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a581fb308442f441bbb1866,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5823a908442f441bbb186d,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5823aa08442f441bbb186f,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a5823aa08442f441bbb186e,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263208442f441bbb1875,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263308442f441bbb1876,normalized_continuous_qudit,874,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263508442f441bbb1878,normalized_continuous_qudit,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58263508442f441bbb1877,normalized_continuous_qudit,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58263f08442f441bbb187a,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58264008442f441bbb187b,normalized_continuous_qudit,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58267e08442f441bbb187c,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5829a608442f441bbb1880,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5829a608442f441bbb187f,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a5829a908442f441bbb1881,normalized_continuous_qudit,886,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4608442f441bbb1883,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4608442f441bbb1884,normalized_continuous_qudit,886,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a582d4708442f441bbb1885,normalized_continuous_qudit,449,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58eac808442f441bbb1b37,normalized_continuous_qudit,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58303d08442f441bbb188b,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58303d08442f441bbb188c,normalized_continuous_qudit,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS4_MG-BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS4_MG-BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58304008442f441bbb188e,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58304008442f441bbb188d,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__pcc_failure_BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58304108442f441bbb188f,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS14_MG-BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS14_MG-BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58304108442f441bbb1890,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS14_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS14_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58341508442f441bbb1893,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58341508442f441bbb1894,normalized_continuous_qudit,874,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58341508442f441bbb1895,normalized_continuous_qudit,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58341e08442f441bbb1896,normalized_continuous_qudit,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS3_MG-BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS3_MG-BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58341e08442f441bbb1897,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS3_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS3_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58372d08442f441bbb1899,normalized_continuous_qudit,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS4_MG-BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS4_MG-BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58372d08442f441bbb189a,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a583b1b08442f441bbb189c,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__renewable_shortfall_BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a583e8a08442f441bbb18b6,normalized_continuous_qudit,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a583e8a08442f441bbb18b7,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS14_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS14_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a583e8b08442f441bbb18b9,normalized_continuous_qudit,449,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a583e8b08442f441bbb18b8,normalized_continuous_qudit,898,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a583e8e08442f441bbb18ba,normalized_continuous_qudit,449,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a583e8f08442f441bbb18bb,normalized_continuous_qudit,449,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5842c708442f441bbb18c0,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5842c708442f441bbb18bf,normalized_continuous_qudit,449,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS4_MG-BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS4_MG-BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5842c708442f441bbb18c1,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a5842c708442f441bbb18c2,normalized_continuous_qudit,449,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__storm_forced_islanding_BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58eac808442f441bbb1b36,normalized_continuous_qudit,449,25000.0,1.5e-06,16666666666.666666
