benchmark,payload_name,reason,status
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS4_MG-BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__pcc_failure_BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS14_MG-BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS14_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS3_MG-BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS3_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS4_MG-BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__renewable_shortfall_BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS14_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS3_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS4_MG-BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__storm_forced_islanding_BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS12_MG__from__demand_surge_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS1_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS2_MG-BUS30_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS2_MG-BUS5_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS2_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS2_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS30_MG__from__demand_surge_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS5_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__demand_surge_BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS12_MG__from__local_generator_failure_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS2_MG-BUS30_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS2_MG-BUS5_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS30_MG__from__local_generator_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS5_MG-BUS7_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS5_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__local_generator_failure_BUS7_MG__from__local_generator_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS12_MG__from__normal_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS1_MG-BUS2_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS1_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS2_MG-BUS30_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS2_MG-BUS5_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS2_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS2_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS30_MG__from__normal_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS5_MG-BUS7_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS5_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__normal_BUS7_MG__from__normal_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS12_MG__from__pcc_failure_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS1_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS2_MG-BUS30_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS2_MG-BUS5_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS2_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS2_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS30_MG__from__pcc_failure_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS5_MG-BUS7_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS5_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__pcc_failure_BUS7_MG__from__pcc_failure_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS12_MG__from__renewable_shortfall_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS2_MG-BUS30_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS2_MG-BUS5_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS30_MG__from__renewable_shortfall_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS5_MG-BUS7_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS5_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__renewable_shortfall_BUS7_MG__from__renewable_shortfall_BUS2_MG-BUS5_MG-BUS7_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__storm_forced_islanding_BUS12_MG__from__storm_forced_islanding_BUS12_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case30_ieee,pglib_case30_ieee__hybrid__storm_forced_islanding_BUS2_MG-BUS30_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
